Product No. Yield(Monthly)
1	1000
2	100
3	50
4	200
5	500
6	500
7	600
————————————————————
Product01
1 	D1	
2	D2	R1	
3	D3	R2	
4	D4	R1	R2
5	R3	F1	F2
6	D5	F1	
7	D6	F2	
8	R3	F1	
9	D7	R4	F1
10	D8	R4
11	D9
12	R5	F2	
13	D10	R5	
14	D11		
15	D12	R5	F2
16	R6	F2	F3
17	R6		
18	D13	F3	
19	D14	R7	
20	R7	R8	R9
21	R8	R10	
22	R8	R9	
23	R8	R10	
24	F4	F5	
25	R11	F4	F5
26	R11	F4	
27	R11	F4	F5
28	R12		
29	D15		
30	R12	R13	
31	D16	R14	
32	R13	R14	
33	D17		
————————————————————
Product02
1	D1		
2	R1		
3	D18	F1	
4	D3	R2	
5	D4	R1	R2
6	R3	F1	F2
7	D19	F1	
8	D6	F2	
9	R3	F1	
10	R15	F2	
11	D20		
12	D7	R4	F1
13	D8	R4	
14	D9		
15	R5	F2	
16	D10	R5	
17	D21		
18	F2	F3	
19	D22		
20	D11		
21	D12	R5	F2
22	R6	F2	F3
23	R6		
24	D23	F3	
25	D14	R7	
26	R7	R8	R9
27	R8	R16	
28	R8	R9	
29	R8	R10	R16
30	F4	F5	
31	R11	F4	F5
32	R11	F4	
33	R11	F4	F5
34	R12		
35	D15		
36	R12	R13	
37	D16	R14	
38	R13	R14	
39	D17		
————————————————————
Product03
1	D1		
2	D2	R1	
3	D3	R2	
4	D24	R1	R2
5	R3	F1	F2
6	D5	F1	
7	D6	F2	
8	D21		
9	F2	F3	
10	D24		
11	R3	F1	
12	D7	R4	F1
13	D8	R4	
14	D25		
15	R6		
16	F2	D25	
17	R5	F2	
18	D10	R5	
19	D11		
20	F6		
21	D12	R5	F2
22	R6	F2	F3
23	R6	F6	
24	R7	D26	
25	R6		
26	D13	F3	
27	D14	R7	
28	R7	R8	R9
29	R8	R17	
30	R8	R9	
31	R8	R10	
32	F4	F5	
33	R11	F4	F5
34	R11	F4	
35	R11	F4	F5
36	R12		
37	D15		
38	R12	R11	
39	D16	R14	
40	R13	R14	
41	D17		
————————————————————
Product04
1	D1		
2	D2	R1	
3	D3	R2	
4	D4	R1	R2
5	R3	F1	F2
6	D5	F1	
7	D6	F2	
8	R3	F1	
9	D7	R4	F1
10	D8	R4	
11	D26		
12	R5	F2	
13	D10	R5	
14	D11		
15	D12	R5	F2
16	R6	F2	F3
17	R6		
18	D18	F3	
19	R7		
20	R7	R8	R9
21	R10	R19	
22	R8	R9	
23	R19		
24	F4	F5	
25	R11	F4	F5
26	R11	F4	
27	R11	F4	F5
28	R12		
29	D15		
30	R12	R13	
31	D16	R14	
32	R13	R14	
33	D17	
————————————————————
Product05
1	D1		
2	D2	R1	
3	D3	R2	
4	D24	R1	R2
5	R3	F1	F2
6	D27	F6	
7	D28	R20	
8	R21	R20	
9	R4		
10	R6	R4	
11	R5	F2	
12	D10	R5	
13	D11		
14	D12	R5	F2
15	R6	F2	F3
16	D29	F4	
17	D30		
18	R7	R22	
19	R22		
20	R19	R10	
21	R8	R9	
22	R19		
23	F5		
24	R8		
25	D31		
26	R12		
27	R12	R13	
28	D16	R14	
29	R13	R14	
30	D17	
————————————————————
Product06
1	D1		
2	D2	R1	
3	D3	R2	
4	D24	R1	R2
5	R3	F1	F2
6	D32	F6	
7	D28	R20	
8	R21	R20	
9	R4		
10	R6	R4	
11	R5	F2	
12	D10	R5	
13	D33		
14	D12	R5	F2
15	R6	F2	F3
16	D29	F4	
17	D34		
18	R7	R22	
19	R22		
20	R19	R10	
21	R8	R9	
22	R19		
23	F5		
24	R8		
25	D31		
26	R13		
27	R12	R13	
28	D16	R14	
29	R13	R14	
30	D17	
————————————————————
Product07
1	D1		
2	D2	R1	
3	D3	R2	
4	D24	R1	R2
5	R3	F1	F2
6	D21		
7	F2	F3	
8	D24		
9	R3	F1	
10	D7	R4	F1
11	D8	R4	
12	D25		
13	R6		
14	F2	D25	
15	R20	F2	
16	D10	R5	R20
17	D11		
18	D29	F4	
19	D35		
20	R7	R22	
21	R22		
22	R19	R10	
23	R8	R9	
24	R19		
25	F5		
26	R8		
27	D31		
28	R13		
29	R12	R13	
30	D16	R14	
31	R13	R14	
32	D17		
